"","ano","numero_bo","tipo","data_ocorrencia","periodo_ocorrencia","flagrante","endereco","latitude","longitude"
"1",2003,25,"Furto de Veículo","01/01/2003","DE MADRUGADA","Nao","RUA JOSE LAMBERTI, 213 JD.STO.ANDRE I SOROCABA SP",-23.457825,-47.4716057
"2",2003,8,"Furto de Veículo","01/01/2002","A TARDE","Nao","AV PEDRO ALVARES CABRAL, 1300 IBIRAPUERA S.PAULO SP",-23.5858839,-46.6563264
"3",2003,10,"Furto de Veículo","31/12/2002","A NOITE","Nao","AV DR ALBERTO DE OLIVEIRA LIMA, 182 REAL PARQUE S.PAULO SP",-23.6165434,-46.7041791
"4",2003,63,"Furto de Veículo","02/01/2003","PELA MANHA","Nao","RUA DR. NOGUEIRA MARTINS, 0 CENTRO SOROCABA SP",-23.500975,-47.4582857
"5",2003,23,"Furto de Veículo","31/12/2002","A TARDE","Nao","R ARNALDO JOAO, 375 VILA GERMAINE S.PAULO SP",-23.5205991,-46.509282
"6",2003,23,"Furto de Veículo","31/12/2002","A TARDE","Nao","R ARNALDO JOAO, 375 VILA GERMAINE S.PAULO SP",-23.5205991,-46.509282
"7",2003,17,"Furto de Veículo","02/01/2002","PELA MANHA","Nao","AV ANTONIO DE SOUZA NOSCHESE, 127 PQ CONTINENTAL SAO PAULO SP",-23.5463569,-46.7559205
"8",2003,16,"Furto de Veículo","31/12/2002","PELA MANHA","Nao","R NOVA CIDADE, 181 VL.OLIMPIA S.PAULO SP",-23.5980444,-46.6798497
"9",2003,21,"Furto de Veículo","03/01/2003","DE MADRUGADA","Nao","AV TORRES DE OLIVEIRA, 70 JAGUARE S.PAULO SP",-23.5508773,-46.7369434
"10",2003,19,"Furto de Veículo","03/01/2003","PELA MANHA","Nao","R CAP PINTO FERREIRA, 62 JD PAULISTA S.PAULO SP",-23.5715936,-46.6549015
"11",2003,23,"Furto de Veículo","30/12/2002","A TARDE","Nao","R FRANCA PINTO, 570 VILA MARIANA S.PAULO SP",-23.587505,-46.641911
"12",2003,109,"Furto de Veículo","03/01/2003","A TARDE","Nao","RUA SALDANHA DA GAMA, 0 CENTRO SOROCABA SP",-23.4966201,-47.4621083
"13",2003,123,"Furto de Veículo","04/01/2003","A NOITE","Nao","AVENIDA PARAGUAI, 0 VILA BARCELONA SOROCABA SP",-23.5120857,-47.4406414
"14",2003,44,"Furto de Veículo","04/01/2003","DE MADRUGADA","Nao","R RODOLFO TROPPMAIR, 20 JARDIM PAULISTA S.PAULO SP",-23.5769665,-46.6587846
"15",2003,150,"Furto de Veículo","04/01/2003","DE MADRUGADA","Nao","R. NICOLAU PERRELA, 393 V. PROGRESSO SOROCABA SP",-23.4803933,-47.4448883
"16",2003,49,"Furto de Veículo","04/01/2003","A TARDE","Nao","R SAID AIACH, 88 PARAISO S.PAULO SP",-23.5777057,-46.6460669
"17",2003,49,"Furto de Veículo","04/01/2002","A TARDE","Nao","AV DR GASTAO VIDIGAL, 400 CEASA S.PAULO SP",-23.533977,-46.73523
"18",2003,50,"Furto de Veículo","04/01/2002","A TARDE","Nao","AV DR GASTAO VIDIGAL, 400 CEASA S.PAULO SP",-23.533977,-46.73523
"19",2003,80,"Furto de Veículo","03/01/2003","A NOITE","Nao","R ENTRE RIOS, 9999 VILA BUENOS AIRES S.PAULO SP",-23.5087837,-46.5180982
"20",2003,174,"Furto de Veículo","04/01/2003","A NOITE","Nao","RUA OLIVEIRA CESAR, 335 VILA SANTANA SOROCABA SP",-23.486334,-47.4565641
"21",2003,82,"Furto de Veículo","04/01/2003","A NOITE","Nao","R AUGUSTO CORREA LEITE, 470 ENGENHEIRO GOULART S.PAULO SP",-23.5002741,-46.5174278
"22",2003,85,"Furto de Veículo","04/01/2003","A NOITE","Nao","R CUMANAXOS, 236 PENHA S.PAULO SP",-23.518542,-46.5325906
"23",2003,56,"Furto de Veículo","04/01/2002","A NOITE","Nao","R PROF CELSO QUIRINO DOS SANTOS, 76 SAO FRANCISCO S.PAULO SP",-23.5602539,-46.7498822
"24",2003,57,"Furto de Veículo","04/01/2003","A NOITE","Nao","R FLORESTO BANDECCHI, 50 JAGUARE S.PAULO SP",-23.5454451,-46.7514434
"25",2003,191,"Furto de Veículo","05/01/2003","DE MADRUGADA","Nao","RUA ARTUR GOMES FR OBJETIVO, 0 CENTRO SOROCABA SP",-23.5033206,-47.463743
